ranking,make,carID,score
165,Acura,113,116
163,Acura,112,110
160,Acura,50,102
166,Audi,15,120
86,Audi,18,38
70,Audi,116,28
57,Bmw,2,24
56,Bmw,172,22
27,Bmw,111,10
136,Chevy,218,64
115,Chevy,170,50
1,Chevy,0,0
158,Chrystler,216,96
16,Dodge,42,8
122,Ford,137,54
76,Ford,120,30
67,Ford,219,26
164,Honda,83,112
162,Honda,65,106
159,Honda,31,102
137,Hyundai,30,66
132,Hyundai,38,62
75,Hyundai,92,30
168,Infiniti,128,128
105,Infiniti,122,44
87,Infiniti,20,38
167,Jeep,124,124
138,Lexus,123,66
95,Lexus,222,40
29,Lexus,190,10
109,Mazda,52,48
83,Mazda,78,36
65,Mazda,141,26
146,Mercedes,25,78
141,Mercedes,84,70
82,Mercedes,17,34
161,Mitsu,91,102
106,Mitsu,140,44
93,Mitsu,176,40
157,Nissan,228,92
151,Nissan,161,84
150,Nissan,3,84
148,Scion,57,80
51,Scion,235,20
145,Subaru,36,74
140,Subaru,33,68
130,Subaru,21,62
126,Toyota,142,58
125,Toyota,110,58
121,Toyota,43,54
155,Volkswagen,126,92
149,Volkswagen,180,82
124,Volkswagen,156,56
53,Volvo,100,22
